source;target
Cliente642;Producto20
Cliente774;Producto5
Cliente849;Producto19
Cliente500;Producto6
Cliente10;Producto14
Cliente996;Producto19
Cliente832;Producto16
Cliente693;Producto2
Cliente808;Producto4
Cliente977;Producto6
Cliente975;Producto15
Cliente964;Producto1
Cliente628;Producto9
Cliente969;Producto9
Cliente475;Producto20
Cliente884;Producto8
Cliente99;Producto20
Cliente421;Producto20
Cliente214;Producto18
Cliente247;Producto8
Cliente546;Producto14
Cliente822;Producto1
Cliente732;Producto16
Cliente566;Producto19
Cliente997;Producto5
Cliente92;Producto3
Cliente549;Producto4
Cliente125;Producto19
Cliente179;Producto20
Cliente326;Producto9
Cliente96;Producto4
Cliente628;Producto9
Cliente710;Producto13
Cliente479;Producto8
Cliente579;Producto4
Cliente426;Producto1
Cliente179;Producto9
Cliente178;Producto16
Cliente997;Producto2
Cliente886;Producto6
Cliente878;Producto18
Cliente842;Producto20
Cliente211;Producto20
Cliente605;Producto1
Cliente588;Producto6
Cliente363;Producto5
Cliente498;Producto20
Cliente305;Producto17
Cliente147;Producto20
Cliente164;Producto10
Cliente658;Producto20
Cliente445;Producto14
Cliente255;Producto3
Cliente312;Producto17
Cliente559;Producto1
Cliente187;Producto6
Cliente381;Producto11
Cliente837;Producto8
Cliente316;Producto14
Cliente6;Producto15
Cliente576;Producto13
Cliente703;Producto9
Cliente78;Producto19
Cliente984;Producto11
Cliente567;Producto16
Cliente532;Producto20
Cliente610;Producto14
Cliente174;Producto20
Cliente972;Producto6
Cliente820;Producto12
Cliente71;Producto4
Cliente872;Producto6
Cliente645;Producto9
Cliente37;Producto11
Cliente154;Producto1
Cliente25;Producto18
Cliente602;Producto20
Cliente596;Producto1
Cliente977;Producto10
Cliente428;Producto9
Cliente395;Producto11
Cliente602;Producto11
Cliente773;Producto11
Cliente97;Producto18
Cliente931;Producto3
Cliente386;Producto15
Cliente495;Producto5
Cliente11;Producto6
Cliente197;Producto19
Cliente72;Producto6
Cliente413;Producto7
Cliente764;Producto1
Cliente984;Producto2
Cliente92;Producto15
Cliente526;Producto16
Cliente215;Producto17
Cliente761;Producto1
Cliente822;Producto16
Cliente94;Producto16
Cliente211;Producto18
Cliente503;Producto8
Cliente889;Producto10
Cliente770;Producto12
Cliente78;Producto13
Cliente699;Producto19
Cliente432;Producto20
Cliente28;Producto7
Cliente603;Producto2
Cliente451;Producto4
Cliente719;Producto18
