;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Cliente253;Producto1;Producto6;Producto16;Producto12;Producto9;Producto15;Producto17;Producto13;Producto11;Producto14;Producto19;Producto7;NA;NA;NA;NA;NA;NA;NA
Cliente263;Producto1;Producto20;Producto5;Producto7;Producto13;Producto6;Producto16;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente325;Producto17;Producto13;Producto12;Producto18;Producto6;Producto8;Producto14;Producto1;Producto15;Producto20;Producto2;Producto9;Producto19;Producto4;Producto16;Producto7;NA;NA;NA
Cliente772;Producto3;Producto4;Producto2;Producto12;Producto17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente846;Producto18;Producto6;Producto14;Producto10;Producto19;Producto16;Producto2;Producto15;Producto8;Producto4;Producto9;Producto20;Producto11;Producto1;Producto17;Producto5;Producto3;Producto13;Producto12
Cliente82;Producto18;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente148;Producto19;Producto16;Producto4;Producto3;Producto1;Producto20;Producto11;Producto6;Producto10;Producto18;Producto12;Producto8;Producto14;Producto2;Producto17;Producto13;Producto7;Producto9;NA
Cliente967;Producto5;Producto4;Producto14;Producto16;Producto6;Producto19;Producto20;Producto18;Producto12;Producto1;Producto11;NA;NA;NA;NA;NA;NA;NA;NA
Cliente476;Producto11;Producto17;Producto4;Producto13;Producto20;Producto9;Producto1;Producto14;Producto8;Producto10;Producto6;Producto16;Producto5;NA;NA;NA;NA;NA;NA
Cliente33;Producto5;Producto17;Producto10;Producto12;Producto7;Producto3;Producto18;Producto6;Producto13;Producto14;Producto11;NA;NA;NA;NA;NA;NA;NA;NA
Cliente140;Producto6;Producto14;Producto13;Producto18;Producto5;Producto8;Producto16;Producto4;Producto19;Producto20;Producto1;Producto17;NA;NA;NA;NA;NA;NA;NA
Cliente409;Producto4;Producto19;Producto7;Producto11;Producto3;Producto12;Producto2;Producto14;Producto6;Producto17;Producto1;Producto20;NA;NA;NA;NA;NA;NA;NA
Cliente55;Producto17;Producto9;Producto18;Producto13;Producto1;Producto14;Producto11;Producto2;Producto20;Producto12;Producto15;Producto19;Producto5;Producto16;Producto7;Producto10;Producto3;Producto8;NA
Cliente645;Producto4;Producto17;Producto3;Producto7;Producto5;Producto10;Producto14;Producto2;Producto13;Producto11;Producto12;NA;NA;NA;NA;NA;NA;NA;NA
Cliente287;Producto17;Producto1;Producto5;Producto8;Producto3;Producto11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente500;Producto7;Producto10;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente233;Producto6;Producto14;Producto10;Producto7;Producto13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente192;Producto8;Producto2;Producto1;Producto17;Producto15;Producto19;Producto11;Producto10;Producto12;Producto4;Producto13;Producto18;Producto6;Producto20;Producto14;Producto7;NA;NA;NA
Cliente673;Producto10;Producto2;Producto1;Producto9;Producto18;Producto6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente604;Producto1;Producto8;Producto17;Producto10;Producto12;Producto3;Producto4;Producto20;Producto14;Producto9;Producto11;Producto13;Producto18;Producto7;Producto15;Producto19;Producto2;Producto16;NA
Cliente143;Producto8;Producto7;Producto9;Producto6;Producto12;Producto13;Producto11;Producto10;Producto17;Producto20;Producto2;Producto3;Producto1;NA;NA;NA;NA;NA;NA
Cliente422;Producto6;Producto20;Producto19;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente168;Producto6;Producto2;Producto12;Producto11;Producto4;Producto3;Producto14;Producto13;Producto16;Producto7;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente678;Producto3;Producto17;Producto2;Producto16;Producto13;Producto11;Producto4;Producto12;Producto14;Producto15;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente227;Producto17;Producto10;Producto12;Producto15;Producto20;Producto13;Producto6;Producto4;Producto9;Producto3;Producto19;NA;NA;NA;NA;NA;NA;NA;NA
Cliente866;Producto4;Producto3;Producto2;Producto10;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente88;Producto14;Producto6;Producto16;Producto13;Producto4;Producto12;Producto19;Producto15;Producto7;Producto10;Producto11;Producto5;Producto1;Producto17;NA;NA;NA;NA;NA
Cliente707;Producto1;Producto5;Producto18;Producto6;Producto11;Producto8;Producto15;Producto14;Producto17;Producto2;Producto4;Producto10;Producto20;Producto16;Producto9;Producto19;Producto13;Producto7;NA
Cliente729;Producto1;Producto6;Producto9;Producto3;Producto15;Producto20;Producto13;Producto14;Producto10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente65;Producto11;Producto13;Producto12;Producto6;Producto9;Producto19;Producto7;Producto18;Producto20;Producto15;Producto14;Producto8;Producto17;Producto2;Producto16;Producto10;NA;NA;NA
Cliente243;Producto6;Producto4;Producto9;Producto14;Producto17;Producto2;Producto3;Producto12;Producto15;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente917;Producto2;Producto19;Producto6;Producto13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente627;Producto16;Producto17;Producto18;Producto9;Producto12;Producto14;Producto19;Producto6;Producto1;Producto20;Producto15;Producto13;Producto5;Producto8;Producto4;Producto10;NA;NA;NA
Cliente770;Producto11;Producto18;Producto13;Producto6;Producto9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente26;Producto2;Producto19;Producto11;Producto4;Producto6;Producto13;Producto1;Producto10;Producto18;Producto3;Producto5;Producto9;Producto14;Producto16;Producto20;Producto8;Producto7;Producto12;Producto15
Cliente825;Producto6;Producto14;Producto4;Producto9;Producto20;Producto17;Producto7;Producto13;Producto5;Producto10;Producto18;NA;NA;NA;NA;NA;NA;NA;NA
Cliente783;Producto16;Producto4;Producto14;Producto19;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente180;Producto19;Producto18;Producto6;Producto10;Producto20;Producto7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente15;Producto9;Producto4;Producto2;Producto6;Producto1;Producto16;Producto10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente318;Producto3;Producto6;Producto9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente526;Producto2;Producto10;Producto19;Producto11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente351;Producto1;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente102;Producto18;Producto19;Producto15;Producto2;Producto9;Producto7;Producto12;Producto4;Producto11;Producto17;Producto10;Producto6;Producto8;Producto5;Producto1;Producto13;Producto20;Producto3;NA
Cliente350;Producto6;Producto4;Producto20;Producto5;Producto18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente144;Producto2;Producto13;Producto14;Producto4;Producto19;Producto18;Producto12;Producto3;Producto6;Producto16;Producto20;Producto7;Producto8;Producto1;Producto15;Producto5;Producto9;NA;NA
Cliente34;Producto15;Producto11;Producto10;Producto18;Producto2;Producto8;Producto17;Producto13;Producto6;Producto1;Producto16;Producto5;Producto9;Producto7;Producto20;NA;NA;NA;NA
Cliente363;Producto18;Producto4;Producto1;Producto9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente547;Producto18;Producto19;Producto13;Producto14;Producto15;Producto1;Producto6;Producto5;Producto3;Producto12;Producto17;Producto9;Producto4;Producto16;Producto7;Producto10;NA;NA;NA
Cliente609;Producto16;Producto18;Producto6;Producto1;Producto10;Producto17;Producto19;Producto14;Producto3;Producto4;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente387;Producto17;Producto14;Producto15;Producto4;Producto10;Producto5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente684;Producto1;Producto19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente399;Producto6;Producto2;Producto11;Producto9;Producto4;Producto19;Producto10;Producto13;Producto16;Producto12;Producto5;Producto18;Producto14;Producto8;Producto20;Producto7;Producto3;Producto15;NA
Cliente721;Producto4;Producto9;Producto12;Producto20;Producto13;Producto19;Producto10;Producto16;Producto3;Producto14;Producto5;Producto8;NA;NA;NA;NA;NA;NA;NA
Cliente582;Producto11;Producto4;Producto2;Producto7;Producto9;Producto17;Producto5;Producto14;Producto20;Producto1;Producto12;Producto18;Producto19;Producto10;Producto16;Producto6;NA;NA;NA
Cliente121;Producto4;Producto10;Producto13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente793;Producto6;Producto20;Producto13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente956;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente141;Producto1;Producto15;Producto6;Producto12;Producto13;Producto11;Producto4;Producto2;Producto10;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente659;Producto11;Producto1;Producto10;Producto17;Producto9;Producto8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente108;Producto17;Producto9;Producto11;Producto4;Producto3;Producto10;Producto2;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente683;Producto18;Producto9;Producto4;Producto10;Producto2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente81;Producto2;Producto13;Producto17;Producto4;Producto18;Producto5;Producto1;Producto6;Producto3;Producto9;Producto14;Producto16;Producto15;Producto12;Producto20;Producto7;Producto19;Producto10;NA
Cliente754;Producto7;Producto2;Producto19;Producto6;Producto10;Producto13;Producto18;Producto20;Producto9;Producto15;Producto4;Producto1;NA;NA;NA;NA;NA;NA;NA
Cliente184;Producto8;Producto18;Producto13;Producto11;Producto15;Producto16;Producto4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente11;Producto2;Producto19;Producto7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente999;Producto19;Producto5;Producto13;Producto1;Producto12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente126;Producto19;Producto1;Producto12;Producto16;Producto7;Producto4;Producto2;Producto9;Producto18;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cliente717;Producto18;Producto1;Producto14;Producto2;Producto6;Producto8;Producto19;Producto20;Producto5;Producto11;Producto9;Producto13;Producto3;Producto16;Producto4;Producto17;Producto7;Producto10;Producto15
Cliente507;Producto14;Producto5;Producto11;Producto7;Producto17;Producto1;Producto6;Producto8;Producto13;Producto16;Producto15;Producto4;Producto18;Producto20;Producto10;Producto19;NA;NA;NA
Cliente578;Producto20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
